"";"string";"cluster";"distanceToCenter"
"853";"getauft";25;6
"854";"Lehrerin";25;7
"855";"Kriegserklärung";25;14
"856";"Genesung";21;0
"857";"registrierten";24;11
"858";"vehement";25;7
"859";"laborierte";42;8
"860";"Pelit/Psammit/Psephit";25;20
"861";"gefälschten";25;10
"862";"ssp";25;2
"863";"Sanierungsarbeiten";42;16
"864";"nistet";25;5
"865";"Ani";25;2
"866";"mitverantwortlich";25;16
"867";"Jednoty";80;0
"868";"B";25;1
"869";"samt";25;3
"870";"investiert";42;8
"871";"kausal";25;5
"872";"Oktober 2002";4;10
"873";"modernere";25;8
"874";"Transformers";25;11
"875";"Talauen";25;6
"876";"Christian II.";25;12
"877";"Knott";25;4
"878";"Ordinarien";43;0
"879";"Affenführung";25;11
"880";"Venezianer";25;9
"881";"von Kindern";25;10
"882";"Entsprechend";25;11
"883";"BranntwMonG";25;10
"884";"Martin Scorsese";33;13
"885";"erhebt sich";58;0
"886";"Sozialistengesetzen";25;18
"887";"Scheva";55;0
"888";"Passroute";100;7
"889";"Annapurna-Massiv";79;0
"890";"RS-UAS";25;5
"891";"Ausland";28;3
"892";"Mall";36;0
"893";"Spittelberg";25;10
"894";"überzufällig";25;11
"895";"Hauptabteilung";25;13
"896";"Wunder";25;5
"897";"Sunflower";20;7
"898";"Unternehmensgründer";25;18
"899";"ProbCons";25;7
"900";"Skiathlon";25;8
"901";"Anfahrtsausschilderung";98;0
"902";"zu vergeben";4;9
"903";"Egerländer";25;9
"904";"Gemeindebezirk";25;13
"905";"zugezogen";25;8
"906";"Meldung";25;6
"907";"nicht vorgesehen";34;8
"908";"Recherchen";25;9
"909";"Tannenberg";75;0
"910";"Frankenthal";25;10
"911";"Hypothesen";25;9
"912";"IT-Organisation";25;14
"913";"Römischen";25;8
"914";"heftigen";44;6
"915";"Jane";25;3
"916";"Neu-Delhi";25;8
"917";"Minneapolis-Saint";25;16
"918";"1972";25;3
"919";"1380";25;3
"920";"kommandierte";42;10
