"";"string";"cluster";"distanceToCenter"
"1578";"BORKUM";38;6
"1579";"TENGEN";123;2
"1580";"DÄNISCHENHAGEN";28;11
"1581";"RASDORF";86;3
"1582";"UNDENHEIM";185;6
"1583";"BRIEDEL";179;2
"1584";"LEUN";38;4
"1585";"GRAINAU";33;6
"1586";"BURKHARDTSDORF";86;10
"1587";"HASSBERGEN";111;6
"1588";"WEMDING";38;7
"1589";"FRIEDRICHSGRÜN";96;8
"1590";"HÖRGERTSHAUSEN";90;7
"1591";"ESCHENBACH IN DER OBERPFALZ";158;0
"1592";"MICHELFELD";147;9
"1593";"WIEREN";125;5
"1594";"PFARRWEISACH";38;12
"1595";"STEPHANSKIRCHEN";77;0
"1596";"HATTENHOFEN";45;9
"1597";"GRAFENGEHAIG";123;10
"1598";"GÖSSNITZ";118;0
"1599";"LOSHEIM";185;6
"1600";"BIDINGEN";95;6
"1601";"BURGEBRACH";170;9
"1602";"SCHLANSTEDT";171;9
"1603";"NEUBURG AM INN";170;13
"1604";"LANGENHORN";46;0
"1605";"KRÖLPA";38;6
"1606";"LÜTZSCHENA";54;7
"1607";"OBERLEICHTERSBACH";194;15
"1608";"THUM";38;0
"1609";"GEMMINGEN";137;2
"1610";"EMMELSBÜLL-HORSBÜLL";194;17
"1611";"NEUENKIRCHEN";81;0
"1612";"NORTRUP";38;7
"1613";"WILHELMSFELD";147;11
"1614";"FÜNFSTETTEN";101;8
"1615";"DÖRNTHAL";25;0
"1616";"FACHBACH";43;6
"1617";"RIMBACH";187;3
"1618";"LEISNIG";38;7
"1619";"HEUCHLINGEN";95;7
"1620";"MARKTOFFINGEN";95;11
"1621";"WISMAR";38;6
"1622";"NEUSTRELITZ";38;11
"1623";"BOHMTE";38;6
"1624";"BERNSDORF";163;0
"1625";"ISPRINGEN";127;6
"1626";"WERNE";143;4
"1627";"BAD MÜNSTER AM STEIN";145;17
"1628";"INZLINGEN";95;5
"1629";"WURMLINGEN";95;6
"1630";"WOLFERODE";38;9
"1631";"BIETIGHEIM-BISSINGEN";139;16
"1632";"KIRN";38;4
"1633";"MONZINGEN";95;7
"1634";"BUCKOW";38;6
"1635";"NEUFRA";38;6
"1636";"THERES";82;0
"1637";"LAHNTAL";71;0
"1638";"DÖHLAU";38;6
"1639";"ROTHENBURG OB DER TAUBER";170;23
"1640";"HAMM";193;0
"1641";"PAHLEN";126;0
"1642";"LICHTENBERG";76;7
"1643";"DORSTEN";38;7
"1644";"BÜTZOW";54;5
"1645";"RIEDE";179;2
"1646";"GROSSHEUBACH";23;11
"1647";"WEISENHEIM AM SAND";185;15
"1648";"TANGERMÜNDE";121;0
"1649";"COBURG";170;5
"1650";"ADENSTEDT";38;9
"1651";"OBERCUNNERSDORF";86;11
"1652";"SCHROZBERG";38;10
"1653";"DOSSENHEIM";185;7
"1654";"SEHLDE";38;6
"1655";"HETTINGEN";95;7
"1656";"BERNRIED";143;7
"1657";"ZSCHADRASS";34;0
"1658";"KINDSBACH";166;0
"1659";"KOHLBERG";38;8
"1660";"SCHÖNINGEN";30;8
"1661";"OBERRIEXINGEN";95;11
"1662";"SCHAALBY";8;8
"1663";"JANDELSBRUNN";39;11
"1664";"GEFELL";38;6
"1665";"SENNFELD";147;5
"1666";"ESSINGEN";139;4
"1667";"BACH AN DER DONAU";199;0
"1668";"HÜNFELD";147;4
"1669";"EGGENTHAL";25;7
"1670";"BREITSCHEID";47;9
"1671";"BORNA";50;4
"1672";"MUNDELSHEIM";185;10
"1673";"GINGEN AN DER FILS";94;13
"1674";"DEUTSCHEINSIEDEL";179;13
"1675";"MINFELD";147;0
"1676";"GREVEN";38;6
"1677";"SOLNHOFEN";45;7
"1678";"NAUMBURG";170;5
"1679";"IGERSHEIM";185;8
"1680";"NIEDERBERGKIRCHEN";56;12
"1681";"DETTELBACH";38;10
"1682";"DONSIEDERS";179;9
"1683";"SCHEINFELD";147;5
"1684";"HIDDENHAUSEN";107;5
"1685";"WESSLING";38;8
"1686";"DAMP";58;0
"1687";"GRAFRATH";38;8
"1688";"KUMHAUSEN";12;5
"1689";"MERKENDORF";17;6
"1690";"LANGENCHURSDORF";102;9
"1691";"PUTZBRUNN";39;0
"1692";"KELLHUSEN (OSTSEE)";160;0
"1693";"ZERBST";38;6
"1694";"ELMENHORST";135;9
"1695";"NECKARBISCHOFSHEIM";185;17
"1696";"PULHEIM";106;6
"1697";"BROKSTEDT";38;9
"1698";"HOHENFICHTE";38;11
"1699";"PRACKENBACH";190;8
"1700";"PREUSSISCH OLDENDORF";113;17
"1701";"PYRBAUM";141;6
"1702";"THEILHEIM";106;0
"1703";"WIESETH";129;6
"1704";"SULZBACH-LAUFEN";190;14
"1705";"OPFENBACH";190;0
"1706";"HEMMINGEN";137;2
"1707";"REPPENSTEDT";38;11
"1708";"WASSERLOSEN";38;11
"1709";"MARTINSHEIM";185;10
"1710";"HATZFELD (EDER)";147;14
"1711";"NEUBEUERN";143;6
"1712";"WEHRHEIM";37;0
"1713";"FRIEDENFELS";179;8
"1714";"SPECHBACH";43;7
"1715";"HERZOGENRATH";38;12
"1716";"MAMMENDORF";113;7
"1717";"KNÜLLWALD";38;9
"1718";"MILTITZ";38;7
"1719";"DOLLNSTEIN";120;0
"1720";"BURGBERG IM ALLGÄU";170;17
"1721";"HAGENWERDER";38;11
"1722";"LANGENENSLINGEN";18;0
"1723";"PALLING";38;7
"1724";"ELLERBEK";38;8
"1725";"TODTNAU";33;6
"1726";"DEININGEN";95;7
"1727";"EIBENSTOCK";38;10
"1728";"GLOTTERTAL";31;9
"1729";"MELLRICHSTADT";55;12
"1730";"BAD BERKA";38;9
"1731";"PLEINFELD";147;4
"1732";"HASBERGEN";38;9
"1733";"IDAR-OBERSTEIN";32;13
"1734";"TRIPPSTADT";55;9
"1735";"LOBBACH";38;7
"1736";"HEILSBRONN";31;9
"1737";"MALENTE";38;7
"1738";"SCHWARZACH";125;9
"1739";"HARGESHEIM";185;9
"1740";"SCHERMBECK";47;8
"1741";"WEFENSLEBEN";38;11
"1742";"MARKT BEROLZHEIM";185;15
"1743";"CÖLBE";38;5
"1744";"KONSTANZ";38;8
"1745";"KIRCHDORF AN DER AMPER";58;20
"1746";"HEBERTSHAUSEN";172;0
"1747";"RALINGEN";95;0
"1748";"MÜLHEIM AN DER RUHR";106;18
"1749";"BUXTEHUDE";38;9
"1750";"FINOWFURT";181;6
"1751";"MACKENBACH";190;7
"1752";"HELLENHAHN-SCHELLENBERG";76;19
"1753";"VÖRSTETTEN";101;5
"1754";"NESSE";38;5
"1755";"ARNSCHWANG";195;8
"1756";"MOHSDORF";86;4
"1757";"BUNDORF";86;5
"1758";"HAMBÜHREN";193;7
"1759";"FRIESACK";38;8
"1760";"HEUCHELHEIM";106;10
"1761";"LENGERICH";123;7
"1762";"NEUSORG";38;7
"1763";"DENKLINGEN";95;6
"1764";"ARRACH";38;6
"1765";"ISSIGAU";38;7
"1766";"ZEITLOFS";38;8
"1767";"WÜLKNITZ";38;8
"1768";"MORSCHEN";47;6
"1769";"KAMENZ";38;6
"1770";"PILSTING";38;8
"1771";"SCHEURING";47;7
"1772";"RIETSCHEN";47;7
"1773";"HEEMSEN";38;7
"1774";"RUGENDORF";113;6
"1775";"LEUNA";38;5
"1776";"BADENHAUSEN";107;0
"1777";"BERG (PFALZ)";38;12
"1778";"KELTERN";154;0
"1779";"FRIEDBERG (HESSEN)";179;17
"1780";"NÜRNBERG";63;0
"1781";"REICHENBACH";103;8
"1782";"PFORZHEIM";185;8
"1783";"KASTL";51;0
"1784";"FENSTERBACH";36;9
"1785";"GELDERN";164;5
"1786";"RHEINE";37;6
"1787";"QUERFURT";143;5
"1788";"MELSBACH";194;0
"1789";"RENDSBURG";125;8
"1790";"SPEICHERSDORF";86;9
"1791";"BISSINGEN AN DER TECK";94;0
"1792";"WOLFEN";38;6
"1793";"OTTENHOFEN";45;8
"1794";"URSENSOLLEN";38;11
"1795";"LANGENWETZENDORF";102;10
"1796";"LANGENBERNSDORF";163;6
"1797";"NÖRTEN-HARDENBERG";76;13
"1798";"MÖCKERN";143;6
"1799";"SCHLECHING";30;8
"1800";"SULZBURG";170;7
"1801";"BAD FÜSSING";85;10
"1802";"BALJE";38;5
"1803";"OTTWEILER";19;7
"1804";"GUTACH (SCHWARZWALDBAHN)";125;23
"1805";"MÜHLHEIM AM MAIN";106;15
"1806";"GEIERSTHAL";186;9
"1807";"FÜRTHEN";72;2
"1808";"KIEBITZREIHE";91;0
"1809";"GINSHEIM-GUSTAVSBURG";146;19
"1810";"WEILBACH";38;8
"1811";"ANGELBACHTAL";112;9
"1812";"STEINKIRCHEN";81;8
"1813";"REICHENBACH";103;8
"1814";"SCHECHEN";47;6
"1815";"KAMP-BORNHOFEN";45;12
"1816";"ESCHERSHAUSEN";174;7
"1817";"KELHEIM";106;6
"1818";"ELLRICH";38;7
"1819";"DENKENDORF";17;4
"1820";"BIEDENKOPF";179;9
"1821";"FROSE";38;5
"1822";"GENDERKINGEN";95;10
"1823";"WITTIGHAUSEN";12;10
"1824";"BONN";31;3
"1825";"GEMÜNDEN (WOHRA)";140;14
"1826";"OETZEN";148;0
"1827";"GÖRZKE";38;6
"1828";"CADENBERGE";76;6
"1829";"ELLEFELD";100;7
"1830";"WIRGES";38;6
"1831";"SIEGBURG";170;7
"1832";"HAAG IN OBERBAYERN";143;17
"1833";"BUNDE";38;5
"1834";"SCHRIESHEIM";185;10
"1835";"WACKERNHEIM";185;8
"1836";"HATTEN";117;4
"1837";"ELBTAL";38;6
"1838";"BÖBINGEN AN DER REMS";94;15
"1839";"KÖLLEDA";38;7
"1840";"BÜCHEN";38;6
"1841";"JOHANNISKIRCHEN";77;12
"1842";"LINNICH";38;7
"1843";"PORTA WESTFALICA";38;16
"1844";"OBERNHEIM-KIRCHENARNBACH";99;20
"1845";"VILSBIBURG";170;9
"1846";"LENGENFELD";29;4
"1847";"MASSENBACHHAUSEN";190;13
"1848";"NIEDER-OLM";179;9
"1849";"NEUKIRCHEN-BALBINI";81;14
"1850";"HOFBIEBER";38;9
"1851";"WETZLAR";38;7
"1852";"ZITTAU";38;6
"1853";"DEGGENDORF";113;7
"1854";"OSTERSPAI";38;9
"1855";"STENN";38;5
"1856";"BISCHWEIER";186;9
"1857";"EURASBURG";146;0
"1858";"KELBRA";38;6
"1859";"WEHRSTADT";55;8
"1860";"KIRCHEHRENBACH";99;0
"1861";"GREMSDORF";86;5
"1862";"NIEDERGÖRSDORF";142;0
"1863";"MOLFSEE";38;7
"1864";"RENNINGEN";197;5
"1865";"ALPENROD";13;0
"1866";"GROSSGRIMMA";23;10
"1867";"MARBACH AM NECKAR";36;17
"1868";"GROSSHARTHAU";23;11
"1869";"REICHLING";42;0
"1870";"FREIHUNG";41;0
"1871";"ORTENBERG";76;5
"1872";"EDENKOBEN";38;9
"1873";"PETERSHAUSEN";174;6
"1874";"FILDERSTADT";55;10
"1875";"WEISSBACH";194;7
"1876";"BEHRINGEN";95;7
"1877";"SULZBACH/SAAR";8;13
"1878";"BACHARACH";38;9
"1879";"BAD LIEBENWERDA";167;0
"1880";"BORGSTEDT";38;9
"1881";"LINDENBERG IM ALLGÄU";140;14
"1882";"OESTRICH-WINKEL";38;15
"1883";"ANNABURG";170;7
"1884";"VÖHL";38;4
"1885";"STEINKIRCHEN";81;8
"1886";"WULFERSTEDT";74;7
"1887";"MASSWEILER";19;0
"1888";"LEINZELL";38;8
"1889";"BIELATAL";40;0
"1890";"BARNSTORF";48;0
"1891";"ZABERFELD";147;8
"1892";"EDDELAK";38;7
"1893";"ERLENBACH BEI MARKTHEIDENFELD";103;22
"1894";"TROSSINGEN";139;6
"1895";"TIRSCHENREUTH";47;11
"1896";"OBERMICHELBACH";38;14
"1897";"LINDERN (OLDENBURG)";10;11
"1898";"LANGENBURG";102;4
"1899";"SCHEER";47;0
"1900";"BORNICH";50;6
"1901";"WEWELSFLETH";38;11
"1902";"BADENWEILER";19;9
"1903";"WALLENFELS";147;9
"1904";"LÜTZEN";54;3
"1905";"MARKTHEIDENFELD";147;12
"1906";"HAUSEN";12;4
"1907";"RHUMSPRINGE";127;0
"1908";"PFAFFENHOFEN AN DER GLONN";31;20
"1909";"NERESHEIM";82;7
"1910";"SCHWABSOIEN";38;11
"1911";"WELLHEIM";106;7
"1912";"WALCHUM";38;5
"1913";"LAMPERTHEIM";58;9
"1914";"GIMBSHEIM";187;7
"1915";"ELBINGERODE";38;11
"1916";"SPAHNHARRENSTÄTTE";125;16
"1917";"SONNEFELD";31;8
"1918";"SCHLEUSINGEN";139;8
"1919";"LAUTERHOFEN";45;9
"1920";"ANSBACH";194;5
"1921";"ALTENFELD";147;6
"1922";"ZIERENBERG";76;6
"1923";"RIESTE";38;6
"1924";"ESCHBACH";43;4
"1925";"EISENHÜTTENSTADT";117;14
"1926";"HAGENBACH";190;6
"1927";"WIPPERDORF";86;8
"1928";"RETHEM (ALLER)";38;14
"1929";"GRÖNENBACH";190;7
"1930";"SCHWEICH";38;8
"1931";"MENSLAGE";38;8
"1932";"DREBKAU";38;7
"1933";"MECKENHEIM";1;0
"1934";"HEIDENAU";164;6
"1935";"BOOS";38;4
"1936";"LEOPOLDSHÖHE";38;12
"1937";"PRATAU";38;6
"1938";"HUGLFING";134;0
"1939";"KÜHBACH";38;7
"1940";"MAGDEBURG";170;8
"1941";"VÖHRENBACH";53;4
"1942";"WACHENROTH";13;10
"1943";"DONAUESCHINGEN";30;8
"1944";"BREITSCHEID";47;9
"1945";"PFEFFENHAUSEN";107;8
"1946";"GLEICHEN";38;8
"1947";"FRANZBURG";170;8
"1948";"SÜDERSTAPEL";38;11
"1949";"KRUMHERMERSDORF";86;11
"1950";"TRAUNREUT";38;9
"1951";"WEIDING";38;7
"1952";"SCHLANGENBAD";102;6
"1953";"REESSUM";38;7
"1954";"FORST";38;5
"1955";"ERTINGEN";66;5
"1956";"BRUNNTHAL";25;7
"1957";"EISENHEIM";185;6
"1958";"USINGEN";139;3
"1959";"LÖRZWEILER";151;0
"1960";"WALLMODEN";38;9
"1961";"FÜRFELD";72;6
"1962";"ÜBACH-PALENBERG";76;11
"1963";"HAGEN IM BREMISCHEN";47;17
"1964";"OSTERCAPPELN";38;12
"1965";"BOCHOLT";62;0
"1966";"WIESENBACH";129;3
"1967";"HIRSCHAID";38;9
"1968";"KARLSTADT";55;8
"1969";"SULZBERG";38;8
"1970";"BAD TÖLZ";38;8
"1971";"HÖFEN AN DER ENZ";38;16
"1972";"BOBINGEN";95;6
"1973";"AHLEN";126;1
"1974";"RÖDERMARK";38;9
"1975";"BÖBLINGEN";95;5
"1976";"PONITZ";38;6
"1977";"KETTIG";38;6
"1978";"DEINSTE";38;7
"1979";"SCHWAFÖRDEN";38;11
"1980";"DEUTSCH EVERN";143;12
"1981";"HAGELSTADT";55;9
"1982";"LANGENBACH";102;4
"1983";"TREBBIN";38;7
"1984";"STEINIGTWOLMSDORF";86;13
"1985";"KUCHEN";38;6
"1986";"BEILRODE";38;8
"1987";"GÜGLINGEN";95;5
"1988";"KRAUCHENWIES";38;12
"1989";"AUMÜHLE";21;7
"1990";"ROSSBACH";194;6
"1991";"LANGEN";102;0
"1992";"GSCHWEND";38;8
"1993";"TITTING";38;7
"1994";"KLÜTZ";54;0
"1995";"GLINDE";140;2
"1996";"BAIERN";143;5
"1997";"ENDORF IN OBERBAYERN";113;17
"1998";"SCHLANGEN";102;3
"1999";"WULFTEN";38;7
"2000";"RIENECK";38;7
